Metric,Category,Sub-Category,One-line meaning,What this sub-category covers,Example
Reorder rate,Quick Commerce,User Demand,How often users repeat essentials,Frequency and demand pattern of orders,42% reorder within 14 days
Delivery time,Quick Commerce,Speed & Reliability,Time from order to delivery,Core promise of fast delivery,12 mins avg
Store-to-door time,Quick Commerce,Speed & Reliability,Fulfillment speed,Core promise of fast delivery,8 mins avg
Picker-to-pack time,Quick Commerce,Speed & Reliability,Time to prepare order,Core promise of fast delivery,3 mins avg
On-time delivery rate,Quick Commerce,Speed & Reliability,% delivered within promise,Core promise of fast delivery,91% on time
Search-to-cart rate,Quick Commerce,Conversion Funnel,% searches adding an item,Shopping journey from intent to order,22%
Cart-to-order rate,Quick Commerce,Conversion Funnel,Checkout conversion,Shopping journey from intent to order,25% conversion
Payment success rate,Quick Commerce,Conversion Funnel,Successful payments,Shopping journey from intent to order,93%
AOV,Quick Commerce,Basket Economics,Basket value,Commercial value per order,₹450/order
Basket size,Quick Commerce,Basket Economics,Items/order,Commercial value per order,6 items/order
Gross margin/order,Quick Commerce,Basket Economics,Margin after direct costs,Commercial value per order,₹70/order
Contribution margin,Quick Commerce,Basket Economics,Profit after fulfillment cost,Commercial value per order,₹20/order
Fill rate,Quick Commerce,Dark Store Ops,% items fulfilled,Efficiency inside micro-warehouses,95% fill rate
Picker efficiency,Quick Commerce,Dark Store Ops,Orders picked/hour,Efficiency inside micro-warehouses,25 orders/hr
Inventory accuracy,Quick Commerce,Dark Store Ops,Match between system and actual stock,Efficiency inside micro-warehouses,97% accurate
Stock-out rate,Quick Commerce,Dark Store Ops,Missing items at store level,Efficiency inside micro-warehouses,6% stock-outs
Rider utilization,Quick Commerce,Delivery Fleet,Active delivery time %,Rider productivity and service quality,70% utilization
Orders/rider/hour,Quick Commerce,Delivery Fleet,Productivity per rider,Rider productivity and service quality,2.8 orders/hour
Idle time,Quick Commerce,Delivery Fleet,Unused rider time,Rider productivity and service quality,18 mins/hour idle
Rider acceptance rate,Quick Commerce,Delivery Fleet,% jobs accepted,Rider productivity and service quality,82%
Cancellation rate,Quick Commerce,Guardrails / CX,% canceled orders,Errors that hurt trust and margins,10% cancellations
Wrong item rate,Quick Commerce,Guardrails / CX,Incorrect items %,Errors that hurt trust and margins,3% errors
Substitution rate,Quick Commerce,Guardrails / CX,% items replaced,Errors that hurt trust and margins,7% substituted
Refund per order,Quick Commerce,Guardrails / CX,Refund burden on business,Errors that hurt trust and margins,₹12/order refunded
Ride requests,Mobility,Rider Demand,Demand volume,Customer demand for rides,200k/day
Search sessions,Mobility,Rider Demand,Ride intent sessions opened,Customer demand for rides,260k search sessions/day
Booking conversion,Mobility,Rider Demand,% searches turning into requests,Customer demand for rides,77%
Completed rides,Mobility,Rider Demand,Successful rides,Customer demand for rides,150k/day
Online driver hours,Mobility,Driver Supply,Supply available on platform,Availability and quality of drivers,80k driver-hours/day
Active drivers,Mobility,Driver Supply,Drivers completing at least one trip,Availability and quality of drivers,24k active drivers/day
Acceptance rate,Mobility,Driver Supply,% accepted rides,Availability and quality of drivers,75% acceptance
Earnings/hour,Mobility,Driver Supply,Driver income,Availability and quality of drivers,₹500/hr
Demand-supply ratio,Mobility,Marketplace Balance,Balance of riders vs drivers,Health of demand and supply matching,1.2 ratio
Matching time,Mobility,Marketplace Balance,Time to assign driver,Health of demand and supply matching,20 sec
ETA accuracy,Mobility,Marketplace Balance,Accuracy of promised pickup time,Health of demand and supply matching,85% within 2 mins
Surge frequency,Mobility,Marketplace Balance,% requests facing surge,Health of demand and supply matching,18% rides on surge
Revenue/ride,Mobility,Trip Economics,Earnings per trip,Revenue and unit economics per trip,₹80/ride
Take rate,Mobility,Trip Economics,Platform share from fare,Revenue and unit economics per trip,18% take rate
Incentive burn,Mobility,Trip Economics,Driver/rider incentives spent,Revenue and unit economics per trip,₹9/ride
Contribution margin,Mobility,Trip Economics,Margin per completed ride,Revenue and unit economics per trip,₹14/ride
Cancellation rate,Mobility,Failure Metrics,% canceled rides,Leakages in the flow,18%
Driver cancellation,Mobility,Failure Metrics,Cancellations by driver,Leakages in the flow,11%
Rider cancellation,Mobility,Failure Metrics,Cancellations by rider,Leakages in the flow,7%
Failed match rate,Mobility,Failure Metrics,Requests not matched,Leakages in the flow,9% unmatched
Wait time,Mobility,Guardrails / Experience,Rider wait duration,Protecting rider and driver experience,4 mins
Driver churn,Mobility,Guardrails / Experience,% drivers leaving platform,Protecting rider and driver experience,6% monthly churn
Support ticket rate,Mobility,Guardrails / Experience,Trips creating support burden,Protecting rider and driver experience,2.5% tickets
Safety incidents,Mobility,Guardrails / Experience,Safety issue rate,Protecting rider and driver experience,0.03% trips flagged
DAU by country,Geo / Country,User Base,Usage per region,Market-level adoption and user scale,India: 500k DAU
MAU by country,Geo / Country,User Base,Monthly users by region,Market-level adoption and user scale,US: 1.8M MAU
New users by country,Geo / Country,User Base,Acquisition by geography,Market-level adoption and user scale,Indonesia: 50k new users/month
Penetration rate,Geo / Country,User Base,Share of target market using app,Market-level adoption and user scale,12% of urban users
Time spent,Geo / Country,Engagement & Retention,Avg usage duration by country,Depth and stickiness by market,Japan: 31 mins/day
Sessions/user,Geo / Country,Engagement & Retention,Visit frequency by region,Depth and stickiness by market,Brazil: 4.5 sessions/day
Retention drop,Geo / Country,Engagement & Retention,Cohort fall in region,Depth and stickiness by market,Brazil D30 ↓ 10%
Churn rate,Geo / Country,Engagement & Retention,Users leaving in that market,Depth and stickiness by market,UK churn up 4 pts
ARPU by country,Geo / Country,Monetization & Payments,Revenue per user in a region,Revenue quality by market,UAE ARPU ₹220
Conversion to paid,Geo / Country,Monetization & Payments,% users paying in that market,Revenue quality by market,Germany 6% paid
Payment success,Geo / Country,Monetization & Payments,Successful tx %,Revenue quality by market,85% success in Tier-2
Refund rate,Geo / Country,Monetization & Payments,Refund burden by country,Revenue quality by market,9% refunds in market X
Latency,Geo / Country,Infra & Localization,App/network delay,Local friction that affects growth,2s avg latency
Crash rate by device,Geo / Country,Infra & Localization,Stability by device mix,Local friction that affects growth,4% crashes on low-end Android
Language adoption,Geo / Country,Infra & Localization,% users on local language,Local friction that affects growth,62% on Spanish UI
Local content relevance,Geo / Country,Infra & Localization,Engagement with localized content,Local friction that affects growth,1.4x higher CTR on local playlists
DAU,Social Media,User Base,Daily active users,Scale and active audience size,2M DAU
MAU,Social Media,User Base,Monthly active users,Scale and active audience size,12M MAU
New signups,Social Media,User Base,New users entering product,Scale and active audience size,80k/week
Time spent,Social Media,Engagement,Core engagement metric,Depth and intensity of consumption,45 mins/user/day
Sessions/day,Social Media,Engagement,Usage frequency,Depth and intensity of consumption,6 sessions/day
Feed refresh rate,Social Media,Engagement,How often users request more content,Depth and intensity of consumption,14 feed refreshes/day
Scroll depth,Social Media,Engagement,Avg content consumed per session,Depth and intensity of consumption,120 posts/session
Content creation rate,Social Media,Creation Supply,Content generated,Health of creator-side supply,10k posts/day
Active creators,Social Media,Creation Supply,Creators posting in a period,Health of creator-side supply,120k active creators/month
Creator retention,Social Media,Creation Supply,Active creators retained,Health of creator-side supply,60% monthly
Post frequency,Social Media,Creation Supply,Avg posts per creator,Health of creator-side supply,3.2 posts/week
Likes/comments/shares,Social Media,Interaction Quality,Engagement actions,Signals of meaningful engagement,5M interactions/day
Save rate,Social Media,Interaction Quality,% content saved,Signals of meaningful engagement,7% save rate
Share rate,Social Media,Interaction Quality,% content shared,Signals of meaningful engagement,4% share rate
Comment depth,Social Media,Interaction Quality,Quality of discussion,Signals of meaningful engagement,Avg 3.6 comments/post
D1 retention,Social Media,Retention,Returning next day,Habit and returning behavior,48% D1
D7 retention,Social Media,Retention,Returning users,Habit and returning behavior,40% D7
D30 retention,Social Media,Retention,Long-term retention,Habit and returning behavior,24% D30
Reports,Social Media,Guardrails / Trust,Harmful content flags,Platform safety and content health,2% posts flagged
Moderation accuracy,Social Media,Guardrails / Trust,Precision of enforcement,Platform safety and content health,93% accurate moderation
Spam rate,Social Media,Guardrails / Trust,Spammy content proportion,Platform safety and content health,1.2% posts spam
Block / mute rate,Social Media,Guardrails / Trust,User dissatisfaction signal,Platform safety and content health,5% users blocked accounts
Impressions,App Store,Discovery,App listing seen by users,Storefront visibility and acquisition funnel,1M impressions/week
CTR to listing,App Store,Discovery,% store viewers opening detail page,Storefront visibility and acquisition funnel,12% CTR
Listing CVR,App Store,Discovery,Impression→install,Storefront visibility and acquisition funnel,5% CVR
Installs,App Store,Activation,App downloads,Install to first value conversion,50k installs/day
Signup rate,App Store,Activation,Install→signup,Install to first value conversion,60% signup
Onboarding completion,App Store,Activation,% finishing onboarding,Install to first value conversion,72% completion
First key action,App Store,Activation,% reaching aha moment,Install to first value conversion,41% create first playlist/order/ride
D1 retention,App Store,Retention,Next-day return,Whether installs turn into habit,35%
D7 retention,App Store,Retention,7-day return,Whether installs turn into habit,18%
D30 retention,App Store,Retention,30-day return,Whether installs turn into habit,9%
Rating,App Store,Quality,User rating,Product quality signals visible to users,4.3⭐
Review sentiment,App Store,Quality,Positive vs negative reviews,Product quality signals visible to users,68% positive
Crash rate,App Store,Quality,Stability issues,Product quality signals visible to users,1.8% crash rate
Uninstall rate,App Store,Quality,App churn,Product quality signals visible to users,20% uninstall
Feature impression rate,Feature Adoption,Awareness,% exposed users seeing feature,Whether users even notice the feature,65% saw new widget
CTR / entry rate,Feature Adoption,Awareness,% users clicking into feature,Whether users even notice the feature,18% clicked
% users using,Feature Adoption,Activation,Feature penetration,First successful use of feature,25% users used feature
First-time use,Feature Adoption,Activation,Initial activation,First successful use of feature,40% try feature
Time to first use,Feature Adoption,Activation,Delay before first usage,First successful use of feature,2.1 days to first use
Usage frequency,Feature Adoption,Engagement Depth,Repeat usage,Whether usage becomes repeated behavior,3x/week usage
Depth,Feature Adoption,Engagement Depth,Feature usage depth,Whether usage becomes repeated behavior,5 actions/session
Power-user rate,Feature Adoption,Engagement Depth,% users using deeply,Whether usage becomes repeated behavior,12% weekly power users
Retention lift,Feature Adoption,Impact,Impact on retention,Whether feature improves the product,+10% retention
Conversion lift,Feature Adoption,Impact,Uplift in purchase / booking / play,Whether feature improves the product,+4 pts conversion
Revenue impact,Feature Adoption,Impact,Additional revenue contribution,Whether feature improves the product,₹18L/month uplift
Drop in core flow,Feature Adoption,Guardrails,Cannibalization,Cannibalization or friction to core flow,Checkout ↓ 5%
Error rate,Feature Adoption,Guardrails,Failures while using feature,Cannibalization or friction to core flow,6% feature error rate
Support ticket rate,Feature Adoption,Guardrails,Extra support burden,Cannibalization or friction to core flow,1.5% users raise tickets
Traffic,Growth Funnel,Acquisition,Users entering funnel,Getting users into the funnel,1M visitors/month
CAC,Growth Funnel,Acquisition,Cost to acquire user,Getting users into the funnel,₹200 CAC
Channel mix,Growth Funnel,Acquisition,Split by paid/organic/referral,Getting users into the funnel,40/35/25 mix
Install / signup CVR,Growth Funnel,Acquisition,Entry funnel efficiency,Getting users into the funnel,8% landing-to-signup
Signup rate,Growth Funnel,Activation,Users completing signup,Reaching the first value moment,50%
Onboarding completion,Growth Funnel,Activation,Users finishing setup,Reaching the first value moment,68%
First success event,Growth Funnel,Activation,Users completing key first action,Reaching the first value moment,44% make first purchase/ride/post
DAU/MAU,Growth Funnel,Engagement,Stickiness ratio,Ongoing product usage and stickiness,0.3 ratio
Session frequency,Growth Funnel,Engagement,How often users return,Ongoing product usage and stickiness,4 visits/week
Time spent,Growth Funnel,Engagement,Depth of usage,Ongoing product usage and stickiness,22 mins/day
Cohort retention,Growth Funnel,Retention,Users retained,Long-term habit formation,30% D30
Churn rate,Growth Funnel,Retention,Users dropping out,Long-term habit formation,6% monthly churn
Resurrection rate,Growth Funnel,Retention,Inactive users coming back,Long-term habit formation,9% resurrected
Conversion to paid,Growth Funnel,Monetization,% paying users,Turning usage into money,5%
ARPU,Growth Funnel,Monetization,Revenue per user,Turning usage into money,₹120/user
ARPPU,Growth Funnel,Monetization,Revenue per paying user,Turning usage into money,₹850/paying user
Revenue,Growth Funnel,Revenue & Profitability,Total topline,Business sustainability and efficiency,₹2Cr/month
Gross margin,Growth Funnel,Revenue & Profitability,Margin after direct costs,Business sustainability and efficiency,42% gross margin
Contribution margin,Growth Funnel,Revenue & Profitability,Profit per order/user,Business sustainability and efficiency,20% margin
LTV:CAC,Growth Funnel,Revenue & Profitability,Efficiency of growth,Business sustainability and efficiency,3.4x ratio
